OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,4412,670,6624,8468,6383,796,7409,2769,497,8430,6118,3846,1528,6137,8865,9833,7495,9169,870,1670
+,2342,639,7425,6057,1724,1660,6035,5734,7670,9247,6374,3798,3666,5214,6658,9496,2418,9793,6122,8012
+,8535,7607,2427,2373,2763,2570,8557,6706,8814,1652,8561,9321,8431,8704,5773,7672,7570,7419,7336,6573
+,9854,4443,1772,9404,2201,993,4186,9533,6092,4190,1082,4459,4712,1979,7647,769,8383,1894,463,366
+,7394,6074,3717,60,3465,8679,6639,4580,2585,8018,9786,4705,5298,302,4990,7272,7608,2209,9711,3168
+,3037,3925,2117,4307,9086,8245,8848,1000,3124,1003,8810,1428,2931,8862,8155,5601,3048,9442,7793,9593
+,9921,7161,2043,3683,209,4091,4056,4695,9146,254,3992,7321,1236,1754,9588,5492,9043,7634,2770,5801
-,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2473,5619,8913,9683,3745,3610,7818,6650,9394,4372,9685,5205,7308,3282,1677,2130,8602,2823,9386,6777
+,7866,3932,8802,2301,655,6418,3287,7317,2773,6666,1830,4476,9268,4988,8156,601,713,7822,1734,5906
+,4509,1441,2347,9921,9954,3026,6159,5416,3549,870,7424,184,1451,9618,565,5541,3213,4832,6272,7566
+,3790,4372,8724,1220,3654,5557,878,4639,891,1433,7241,6623,8715,8670,9501,7357,4759,4847,8736,7232
+,1449,5378,9885,384,1364,1520,7462,3669,8413,3759,4902,637,7045,8290,8468,9888,5552,9966,8384,9362
+,1400,6407,2865,4727,4551,1794,3643,5634,8487,3471,9844,2082,9877,1120,3927,4485,6825,2510,3356,8088
+,3906,6191,6396,4286,1997,9765,4922,2541,2883,2117,7692,3356,7414,5453,9752,464,5168,7019,4716,2803
+,2165,4764,411,570,1369,8456,8461,9827,4230,6585,9686,7908,2936,1129,2794,286,8033,9740,4782,172
+,652,4014,9745,779,3678,4073,3040,3132,5037,4502,3946,7096,6792,3533,5422,787,817,5113,7334,3202
+,6431,9521,581,5477,1441,9785,2099,8510,5980,6972,76,750,5301,8964,7442,4379,6549,6754,7655,6974
+,9815,5327,9763,4069,5972,8657,7155,9755,1059,2617,9425,9009,3988,3615,1904,6005,4935,2646,6147,2887
+,7862,3385,5445,6063,3733,5657,1459,5332,8714,5787,5983,6810,8888,7389,2242,8458,9939,3759,749,6302
+,5459,5934,4144,8923,1300,9843,8613,9648,6710,424,7537,1961,4510,8553,5825,436,1574,5000,5847,9554
+,818,4112,9901,4809,338,6159,2567,3513,9963,2113,4132,6833,3216,7712,6903,6965,2043,7188,5766,6770
+,5895,8910,8383,7605,4870,6510,5472,5148,4612,1450,8320,1928,2519,9843,2861,4322,1164,4871,1591,5113
+,6423,8410,7367,1812,7899,6931,118,5897,2107,9713,3905,4422,1123,9267,8176,7449,8370,4529,1073,7999
+,3759,3027,8916,6117,2547,1449,9481,9890,4938,6963,4023,8105,1315,1851,3659,7934,5923,3411,5392,432
+,8380,917,6874,7017,7186,8656,7726,9355,238,6140,9915,6445,3343,6570,4774,2621,5049,2502,1918,9222
+,8474,1518,9594,591,8255,5993,9504,9418,8591,336,4416,8957,3400,3173,5133,3113,8927,4668,4777,8307
-,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9718,2249,4128,113,4396,2997,3060,6326,2370,3709,9492,9268,6233,5151,9114,17,6438,639,7347,9531
+,1312,1610,3392,2031,4341,5094,8035,1277,9150,2462,549,2967,1642,1766,9406,6808,5201,8226,3603,3594
+,3530,954,7444,1739,1760,3395,53,810,1707,9415,5077,2811,6311,8178,8031,2343,8653,703,7399,5623
+,6956,8619,3893,3339,2978,3287,8657,5200,8641,2906,569,193,9940,5239,5087,9065,8792,2980,4222,3641
+,3933,9517,9751,9313,8201,8649,2562,1699,7145,7207,968,3407,6500,3552,3030,7758,8369,7715,1656,1591
+,8382,7606,2778,2024,2541,5784,3944,906,7565,2518,3748,9579,714,3070,3488,7055,3407,504,325,3870
+,6727,7774,6393,9768,4026,58,5838,6178,4079,3151,7303,8721,5398,9739,6904,7983,4774,7234,9187,417
+,7140,3045,42,6938,7471,354,3063,7182,2983,6935,8513,4913,9246,139,9607,3058,2262,768,6708,4854
+,419,3262,3326,8115,807,4464,4116,2599,9448,4696,3034,3955,880,6191,4705,8554,588,3471,4648,7708
+,9371,8804,613,7320,4074,955,8987,1666,2191,3748,8917,1466,2750,8944,5021,3990,4844,7996,5342,4545
+,1476,9713,2362,6900,7068,7127,1832,4237,826,5010,3423,7,9930,5447,6029,5449,4632,1632,3245,5326
+,5004,5667,9396,915,3725,2996,9644,5035,9548,8382,5469,9090,1635,9734,5128,7591,9551,6731,505,8911
+,9525,6471,1285,1626,1093,4017,4327,8884,880,4098,9333,1588,3740,5270,2186,1594,7403,8813,4158,5679
-,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,409,5254,118,4481,220,8914,5040,2008,374,634,1042,4198,3456,5935,9825,6908,8677,856,9065,554
+,7913,7277,6656,5920,7912,2995,7431,3491,9407,3640,7300,2945,5194,9328,5815,6516,6103,6474,5888,7900
+,5633,921,622,1943,5317,9917,6178,1136,9859,7286,428,3278,8337,2796,1957,2936,9855,3533,3635,8781
+,6104,7381,343,9599,3646,9388,60,7479,7787,9731,9106,57,2698,286,4639,9868,8475,8950,1540,8605
+,7663,2085,4440,5488,7361,4345,1629,9175,9977,7424,3906,640,8583,2144,6447,4771,5303,1304,5939,7760
+,4808,5121,6385,2427,2368,1785,5659,1861,9750,203,2762,7118,7530,6468,4466,1455,8700,4648,6925,9397
+,1296,8528,2500,4814,3657,1487,4890,8167,5562,5302,4623,5303,7043,4124,1250,6149,2362,9432,9516,1606
+,9702,8746,7861,6800,222,9048,4890,9402,7639,6798,3944,6697,2536,9604,2842,1082,7437,10,9336,839
+,2483,7747,7596,7512,1911,1396,1321,1159,8833,981,9014,537,9749,6831,6339,6833,5142,2241,6563,4558
+,4024,7642,3284,3348,1777,6786,9688,5979,1367,7559,3137,8807,7744,4361,3751,1611,5398,1150,9263,5395
-,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7029,5352,6734,7573,1095,9354,6388,785,9693,6608,8437,9784,7656,8994,7350,5654,6315,3399,788,6042
-,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9454,1076,3029,9015,9131,5872,1171,9862,5824,8036,3625,4325,1057,7081,6139,7783,1156,1321,838,5694
+,44,6980,5377,5002,8444,5705,3181,5008,9235,7215,7670,784,5894,1096,6187,9680,2760,7167,9856,6884
+,4825,5374,800,8404,5500,3150,3101,6020,5959,8927,9512,1401,641,1879,9484,289,9506,6139,8702,4271
+,6539,5937,8900,4884,8765,7648,7918,5931,5844,3558,9321,9186,5738,415,3268,1574,8405,8098,1975,3129
+,6032,6807,7632,845,6326,2771,9034,1828,3467,1168,1400,3862,7016,7764,191,5472,2491,4458,9184,7027
+,8130,6798,9468,6023,1903,9406,1153,4956,8641,812,4735,8000,9388,7370,70,2677,1867,2200,2374,7160
+,8770,3485,8735,7947,5429,4961,6191,3509,9959,2610,275,9016,7992,2235,7350,1183,7888,3707,2950,8716
+,9732,394,9023,4813,7046,1048,1288,6803,7515,6066,2143,7407,2460,4465,1488,1295,1295,7102,3167,9529
+,4058,5941,1538,2561,8878,9792,3401,4257,9975,141,9270,2312,9605,7743,6756,2622,2745,2355,641,4951
-,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2599,353,2965,9940,4480,4227,5391,3904,1988,8782,562,5965,3516,9740,1504,3128,92,2580,2593,8546
+,659,6868,5995,9468,2276,387,3266,9887,3446,4404,2842,9201,3870,1797,8732,3349,7917,8412,7447,1716
+,6125,5630,3204,3154,5448,8470,7872,1733,7068,6776,4558,5809,8855,13,1677,5593,3584,5229,1854,4546
+,3003,8873,2833,8462,6099,6806,6648,4544,3490,6166,8812,7900,6455,2117,5798,3869,3353,6786,8875,5587
+,4749,9253,1078,57,2637,218,4275,1742,3057,4681,2779,5054,8150,8916,8352,6949,9463,8457,8596,4776
+,2028,9037,833,5496,5210,9290,5643,1001,313,9456,9742,9988,6271,999,4301,8771,2666,9994,4519,7462
+,3343,1854,6090,753,1291,5617,5501,4884,326,2455,5372,7994,3038,4075,1811,37,8738,4154,6668,3499
+,210,7376,7549,2573,5854,3758,6921,5200,8019,9954,3533,9981,2330,5825,7712,84,6274,990,610,6105
+,5912,5413,9484,137,636,3821,3522,9060,987,2116,3122,6156,7460,7625,7469,1864,5321,5673,6063,9551
+,897,1274,7294,2662,1264,5768,4693,9840,5795,5731,4885,6723,3354,4289,4341,9402,8219,1892,7377,5225
+,4116,8228,8529,2795,3840,4784,2660,1205,9397,5305,6081,2268,2005,8735,7457,3409,7229,6330,7317,1400
+,3227,9034,5226,7085,6764,6891,4593,295,3935,2409,6245,4441,6258,402,539,1008,504,2714,8403,3289
-,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1822,6964,1198,7454,9530,5807,2836,5836,5407,955,1850,3795,173,2758,2225,7092,7416,2926,8649,4139
+,9211,2059,3692,590,8864,3182,757,5097,1949,9297,1596,9545,6223,2250,2353,8845,4118,714,2694,6899
+,4164,3167,421,8319,2195,5683,4208,2185,7918,8244,5012,6911,4648,7833,3906,3572,983,6102,331,8418
+,4558,3188,523,2666,5909,2279,8407,3469,4540,3900,1394,1305,1162,3382,6126,2305,713,5002,2987,1930
+,1840,4886,9895,2420,5431,7253,4695,5734,8033,7291,5229,1726,6002,2933,4052,5397,101,1433,3375,977
+,3761,3899,9302,1203,563,3142,7243,7509,1425,1413,3527,8585,2831,1237,1030,1495,1730,3969,226,8955
+,8548,1546,7419,3065,846,9691,33,1635,8645,8306,3265,9001,3161,5523,4565,4498,3049,9906,7973,3227
+,8865,2365,474,9490,9487,5628,2268,634,2636,4788,9877,1104,9361,9323,3145,7223,1428,7451,7751,9622
-,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,291,5662,6457,5984,407,9218,2930,7100,2630,598,5202,4040,3620,8505,8713,9603,8665,2601,6373,2753
+,1204,2840,1700,680,5630,9782,4292,3870,5134,128,4798,3838,4482,2555,2923,7026,9366,9611,5942,5318
+,7128,6342,40,8512,9513,8558,3992,7731,9997,7500,4810,2020,6316,9975,6716,6907,3237,101,3075,4762
+,3173,1104,5395,6593,9610,5313,810,691,9999,7188,1247,3699,7621,9166,3986,2011,638,4198,7471,6386
+,6783,7430,5505,5312,1372,5497,2106,1723,723,5792,3269,1248,9786,5287,784,4156,8023,1342,2588,5559
-,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5579,3325,2789,2484,7652,7489,8039,7975,9389,1518,627,1317,3088,3409,4009,7274,1599,5266,5339,1678
+,8552,8854,5178,4721,3709,6128,5250,3388,5787,3423,6479,9690,2923,6036,2987,7631,826,7090,4674,2113
-,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3970,5372,5115,9190,797,7795,9729,4731,7030,1249,3525,6798,1389,743,8904,8881,6280,9254,274,9703
+,7270,8039,4363,6729,9380,4184,1291,4167,2341,5262,4612,3862,2884,3602,3305,6524,3051,7315,627,6535
+,6046,7824,2501,9890,2251,2819,78,777,3422,8781,9264,9184,2042,1725,3458,7003,7521,5483,7899,220
+,7800,5658,5472,2322,7219,5657,7299,8508,3220,4525,10000,2832,7610,3781,7593,7735,7903,2548,7877,3020
+,7771,3095,5311,9969,2670,6145,1663,6402,1275,9820,9771,5647,1934,2065,1521,1925,6143,1652,7129,2101
+,1161,7511,1759,3177,3626,1787,7418,6291,6585,4224,8388,5370,5101,3475,4456,4413,3608,6249,3754,6874
+,8297,1965,2837,875,9941,7902,8129,1731,120,7878,6648,2738,1308,7544,691,9612,4532,7389,9246,145
+,7813,2228,2071,7801,1807,4027,2033,9143,6896,174,7098,2888,4773,5129,4910,9130,243,4643,9042,6603
+,6416,1762,2610,2420,6364,8892,4961,8380,6326,2581,7678,2988,8013,195,3748,618,2175,3995,373,9839
+,7508,4617,2603,2907,4361,1909,4831,9714,5402,6235,1537,1096,8601,9392,1413,5690,443,9783,2801,3541
+,9060,4568,8872,1627,1931,7079,5950,6340,5613,4585,3464,3195,1524,4556,9948,2310,6463,8267,6706,394
+,6070,7715,263,747,7499,5373,1496,1812,2881,7713,9131,2638,1351,6857,3415,9395,850,8606,738,8189
+,4056,2356,3960,192,5192,8822,3574,2299,60,1039,9416,832,5735,8543,6215,3956,4308,2995,8393,2435
+,7550,8256,2206,18,8279,7803,318,4215,9045,1325,7655,4042,340,7036,7655,6965,3853,9406,7007,1474
+,1586,8471,3810,5735,8279,2103,6017,2522,6658,3142,3193,8931,6728,9470,8922,7884,392,4990,602,6058
-,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2219,163,7113,9620,8958,6036,6073,7501,7456,4454,8661,157,8513,1490,8091,619,5016,3225,513,3753
+,6888,7654,917,1684,6517,5511,3440,3818,8194,4068,7673,4944,920,8859,5720,1036,5577,4591,7110,1362
+,6045,2754,9271,4189,2939,4856,9379,4800,5822,8957,2163,328,9165,4671,569,8802,7113,3926,7131,1436
-,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6575,6653,4841,8325,2157,7203,8343,5151,8518,5084,4247,2051,6023,8728,2764,4927,1553,9444,7841,8934
+,4187,244,4815,1973,6761,7886,9210,1432,3005,678,6408,801,7222,4858,2663,7064,1117,5244,2857,9704
+,9227,9234,4956,1040,6128,8875,750,1694,7703,5095,9138,5087,2755,7010,7322,6098,6706,3402,796,6748
+,584,9003,4240,482,9320,1075,7499,617,6337,6636,5565,8786,4750,7237,7151,9583,602,6088,1404,5717
+,3368,1122,9712,8102,8980,9672,2941,7587,3355,4850,1644,5272,7722,9590,8361,4593,8453,9337,4403,465
+,1102,3613,5974,5302,3617,7855,7749,5469,336,5365,3514,3649,2681,1620,4563,6139,6646,208,9412,3738
+,442,5219,7136,6289,1619,792,3831,9041,6705,420,4899,7737,5741,4094,7980,2387,1000,5204,8711,9682
+,7185,8615,2350,8968,2152,373,7709,8695,2814,5691,6872,3931,4835,9828,9107,8622,8921,8264,7860,3613
+,8968,4614,2160,6004,1897,8359,123,6493,2556,3339,5563,2013,6051,5836,8728,2427,356,110,8073,4206
-,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9856,9747,3421,7266,6489,9393,7831,1109,3704,188,2649,8419,9797,2758,1923,1126,9605,2779,1166,4798
+,5982,9305,6514,6801,5901,5407,2549,3027,1070,7378,8031,4018,7517,3504,5074,9516,5411,4139,6342,2441
+,7556,7858,4085,8366,3842,1965,7617,8574,6408,8795,4563,4894,9876,5689,1077,8434,4949,4323,8833,4674
+,4977,8462,2793,3434,2933,1576,7674,4956,2083,117,665,8307,9895,199,2424,3562,2144,2767,229,3553
+,5370,6062,568,1724,5288,7404,3900,8818,3989,6743,8537,4386,6004,854,2812,3704,572,5124,7695,1273
+,6485,9805,578,4257,824,9987,3055,5702,3541,9803,3070,4737,3099,3180,1867,4156,9006,189,272,8932
+,8059,3433,884,8779,2698,9429,8406,6538,8595,9365,1220,536,9109,6735,4925,5204,4094,2606,8939,4546
+,4913,8773,786,7493,4581,6301,7829,4770,6953,8534,4575,1427,9949,2780,5148,6409,100,7887,9319,9403
+,5561,5519,6885,7929,6883,8986,1059,7579,7216,652,5492,3191,6682,5833,4959,4662,6267,6780,4615,1249
+,7569,9467,4983,8835,5092,8130,7588,2633,1046,7351,2891,9927,1354,4660,7834,1012,1904,3529,8408,7611
+,8212,7684,7870,9226,1817,8936,8145,965,9666,4712,1434,6682,1213,9040,3772,9411,5729,3388,623,5642
+,6952,9896,8480,3824,9496,2732,7494,2684,9571,8089,3063,3748,8752,3864,1252,6980,4990,9371,5341,8675
+,4495,5713,2788,6969,2970,6079,4567,4083,8066,5709,206,4176,9045,2470,4373,4812,7070,7791,8299,3032
+,3840,5724,8210,3033,6112,5589,6846,3350,6771,5681,2186,7004,8558,5078,3844,1916,7356,3490,5613,3443
+,9202,2418,8863,6304,7583,3048,2117,530,5330,3851,3913,6845,3393,1305,2297,9584,2226,3034,2324,5821
+,3221,5264,3047,298,229,1996,7092,5871,4810,1667,1931,9538,9116,3270,9220,6253,65,5136,4788,5520
+,3651,9268,9309,5580,5929,3143,8936,1235,5085,9334,4894,1327,2830,5999,2926,2357,5049,5164,2243,9559
+,4871,5447,5620,2545,1956,7660,6679,4117,8020,6857,1595,3806,1890,5952,5611,303,484,1941,2442,6533
+,9811,720,7461,5782,6201,6460,433,1323,1886,1751,1319,9410,2331,7395,9498,882,5312,4700,2461,6495
+,341,9449,1451,8187,6984,6294,7665,9934,5075,6585,7021,6811,7039,3388,7418,5915,95,203,3902,4536
+,1108,9477,6339,3215,4592,1830,619,1788,3099,8561,3121,2791,1587,1393,8813,6925,4112,9872,991,895
+,6436,1629,8444,1840,7438,9948,1226,6580,5052,1693,7343,3683,9263,7938,7172,6118,5789,274,2865,2922
+,3535,8872,6357,5221,3762,1947,9189,7260,6700,7685,914,3573,5407,9631,1920,4826,890,1063,9769,1923
+,1932,3037,4375,8204,8629,4993,2455,623,986,7779,9833,1566,2379,6919,3401,4249,1551,1225,7412,8783
+,4894,7139,8268,9147,5903,486,2829,5122,6168,9841,9687,3818,5079,3438,2046,5923,1950,5041,7243,5319
+,3061,5421,219,1079,237,9415,6660,8911,99,6417,9340,4520,9401,3402,4360,2450,6833,7286,7821,4362
+,3830,7470,8081,8399,6833,259,5838,7996,7539,4354,461,4318,5895,9492,5922,5310,2645,6762,3293,2778
+,9122,9327,1809,619,6521,1098,9813,8286,7249,2788,5420,4668,6812,7753,9961,3696,6162,8215,7345,3900
-,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7975,7029,7461,6886,588,7313,1963,7836,797,3243,647,5287,7905,1536,5274,949,1646,1805,8891,8271
+,5878,1050,3957,4271,10,6721,2668,5505,1016,8380,5100,4507,8978,3331,3017,2247,5872,1958,5597,7195
+,7008,2777,5319,2525,6337,3965,2247,6489,6807,6238,1518,8100,2930,6802,6858,4219,3107,6439,9728,1264
+,1811,1447,8281,6648,9856,784,9563,8497,8743,4938,2000,5594,2400,8468,4792,8991,1008,6922,1124,1955
+,2944,3962,560,8995,1612,6302,2464,6176,6626,8366,6732,9790,2770,1461,3725,1899,7548,6823,292,1098
+,1172,920,7420,4642,7469,176,1005,3820,5645,7593,4037,8255,3374,9487,4614,5529,9500,2573,3029,1242
+,8516,5871,7679,4944,1883,9287,3468,4342,7299,9692,1489,5495,7783,2620,3187,4795,5921,5511,9038,3240
-,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8158,8331,7091,1267,8318,1237,3395,6228,8697,2405,3367,5927,7456,5231,561,6238,1931,7518,9671,9874
+,5248,4279,5111,1283,4974,4319,2603,1591,6887,1352,1352,4373,6693,2395,5404,4953,3236,738,2531,4209
+,6418,6965,1472,888,1015,8467,6241,6234,2101,3105,4968,1120,2072,3789,6924,5964,3848,4366,3360,8217
+,7923,119,6906,7006,7993,2370,4245,1719,6407,8841,7309,6177,811,5089,3074,8896,9271,6213,7060,2810
+,3873,4291,8100,1040,6320,7803,9608,4023,6531,9842,5456,3568,8098,5365,1573,2266,3696,5712,8938,7233
+,8479,1974,4519,5812,6173,6598,8114,6392,5248,6707,1312,1912,4251,3737,7011,7188,2724,8176,4706,1867
+,1671,5750,6106,1,8329,5530,6498,171,8627,1153,1550,1872,6409,2370,2632,8594,4143,1200,9551,3116
+,1457,4862,5744,1177,3352,2705,554,2929,8551,8220,5760,8625,1628,3141,4053,1030,5368,8759,8564,8012
+,9848,7871,1058,2127,4905,6953,5706,1958,2338,3334,4326,9305,7090,6180,5038,1994,1853,8373,5085,1637
-,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,701,7721,7913,897,1292,8488,574,9233,1219,9273,7908,3900,692,8529,5688,4052,9585,5623,1349,9428
+,3112,5978,4670,469,3972,3936,5491,6319,7593,5412,4458,4437,1964,6145,1275,2587,2699,7203,5680,2738
-,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2870,5464,334,3398,7570,1886,5105,7490,4275,8773,4845,1188,1861,934,8957,9106,4172,6454,6428,2988
+,4666,7221,6987,4111,4763,7399,6949,8237,7780,8004,6947,2015,7055,4440,6239,4592,8900,2567,7772,773
+,6041,6604,3474,3202,7108,3346,5170,2829,4603,7367,5269,6905,8993,5660,8000,5489,5689,764,4048,4946
-,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,20,2302,1893,6697,4158,7121,4792,7107,5552,2677,392,5022,2534,2869,7796,5449,3641,5787,3956,3848
+,13,919,5396,3775,8303,5706,8286,1428,8854,8574,5165,8909,1978,1920,4557,4572,3013,6903,2679,9376
+,8724,8720,7357,3629,5018,3519,3909,327,7693,5010,6263,8825,9253,3134,3801,1640,9331,7147,7478,2349
+,6393,8099,298,4939,1978,6205,589,4842,5040,5757,8732,8026,1550,473,5993,7565,9805,8327,2025,2603
+,8287,6257,6420,6195,9576,4812,112,6841,8386,3198,7904,4364,9540,4207,5954,8838,306,5734,5242,2496
-,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6549,6016,1007,7453,5694,1971,5482,7646,5929,296,4756,91,1899,9539,5856,7861,9148,4644,3885,3333
+,451,7019,2419,2303,8836,3732,8049,8842,5342,7996,5907,4766,7115,5116,8857,5255,2737,4253,2022,2506
+,3252,8029,965,8584,8165,8627,6853,5574,6150,7562,5691,3624,4462,329,717,9075,8143,7371,838,9606
+,1855,4097,4759,1741,7564,4800,9336,9814,5976,1250,9116,1137,3825,2784,1028,5682,2221,7303,4233,9865
+,4414,3081,8641,9301,1144,1844,4569,8621,6924,9428,6045,5343,5949,94,2893,9777,2650,9325,6118,320
-,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2583,5509,2060,1644,5732,3573,996,469,8128,2923,8419,9211,3989,4681,2548,4781,6341,4798,287,6819
+,1277,4649,765,2055,9753,1222,700,1416,5151,5133,1564,9648,7496,8926,7128,838,3100,7015,2546,3145
+,2562,2979,4039,5730,8739,151,937,9740,8561,6089,8508,7438,8925,3418,3130,7698,7481,161,8258,8495
+,7882,9019,5384,5603,6411,8605,1196,5017,1317,1318,1797,1090,8372,9039,2197,1607,7721,8681,4821,3732
+,557,6589,5621,1950,1615,7832,573,2749,9322,6918,9295,9061,1635,4957,4386,3504,1440,6428,4189,9133
+,944,9821,4765,2988,9147,1255,4039,1849,4764,596,1845,8135,7464,3448,2483,1714,9711,9822,979,7413
+,6605,8815,3780,8189,2110,1198,9907,10,2464,1410,374,2875,5868,1197,4949,8315,9488,9454,4407,7175
+,1101,8540,8102,4714,7263,8811,4899,6948,5987,7997,4970,3037,217,8938,5004,8640,5068,1712,8654,5764
+,6941,3191,4129,6311,3368,34,4849,9979,4001,7478,2284,1286,8651,3059,8349,9304,8827,2178,5599,8065
+,8336,9207,582,9754,3183,6547,7223,4794,9208,3436,9231,3494,3641,300,3430,6381,2918,5621,2379,6254
+,5300,2869,6195,7405,7090,5934,9261,6217,7103,2141,3909,1352,1894,3883,3425,7709,2433,3361,4285,3907
+,8440,7692,8846,3462,1949,3919,6613,9380,2138,33,3872,9834,7413,8427,3462,8383,8143,5323,711,7498
+,6967,1631,3491,9690,1236,1301,9943,9375,5253,2870,1,333,2548,309,7131,9296,3323,810,8521,247
+,3550,2022,4430,4809,1743,9085,6305,9525,7113,9952,2220,5707,8773,1561,1316,7846,959,2320,3003,3954
+,1631,3737,1795,5514,5558,9318,1675,9126,462,3928,5233,6974,9479,2099,1676,8193,3760,5175,3735,3469
+,4305,8834,5995,1385,8780,1198,5125,3811,6788,5634,7814,2483,550,3342,7951,6874,4023,678,481,8914
+,399,81,7200,4239,2022,2390,8856,8591,592,2722,6711,9960,2148,1833,3034,4250,5118,4351,9420,3610
+,1973,2559,9232,939,4503,8613,9234,708,2372,2456,4655,8553,5462,8195,6556,8136,8740,7107,6400,1429
+,965,6082,7519,7104,4816,7064,9487,7504,4260,1132,153,8275,2471,3065,1213,5895,9783,1470,8751,6029
+,7746,7156,169,6895,4612,4894,8341,601,3582,2493,4013,5461,9532,1184,3368,1130,2188,7929,4210,2485
+,9752,8879,8639,1190,7546,6857,3460,7560,7029,5284,3849,7151,3428,8151,7620,9637,94,5038,482,9440
-,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2469,1479,9068,9770,7271,8915,5845,1341,7210,7707,2024,7130,1849,2617,3180,2800,2008,337,8081,8991
+,5158,6247,4669,5112,609,8452,1317,4021,9602,6489,8093,4686,7833,8303,9123,6951,9896,1671,39,7983
+,2328,666,7187,5098,5583,2180,2777,983,7869,9225,6257,5195,2876,4072,5926,9728,8124,7217,1051,448
+,4549,6444,3169,3195,6079,1556,5626,4694,8420,7034,9081,9532,2034,3425,6722,6807,7178,2402,1003,6237
+,4850,6511,6463,2741,4252,1143,6884,9913,1240,5303,3344,2935,963,5710,8873,3171,4410,1796,7281,6833
+,6907,1347,5495,3215,8901,9465,6995,1890,604,2265,9790,7659,8578,7496,2657,2556,7755,7298,3702,1299
+,2014,4339,3833,6177,4332,2210,1706,1173,9204,8306,6590,8324,9147,3629,2645,8644,1239,7007,5755,5884
+,5966,3011,909,5946,3738,1180,4327,2059,9132,5452,3282,8692,2128,5575,5272,1047,9938,8647,5398,6715
+,1592,3837,2461,9719,2181,5921,9727,8796,9790,2820,9089,6533,2227,8756,3208,9381,9521,7688,672,4503
+,1854,7867,4160,9871,9356,8008,3652,8753,1549,3171,7754,3523,8461,2556,58,9296,8900,163,3729,8779
+,7708,3384,8432,288,4728,6414,8834,2768,1239,9166,362,8019,6401,2189,5255,5949,6440,8759,3567,4961
+,4008,3670,4209,699,5049,2661,5420,9272,3074,7623,1787,9146,2972,6736,3034,6522,8832,4268,552,3698
+,2522,7523,8654,9535,4374,6236,9253,1923,4516,179,2805,9099,6928,4251,385,2307,721,2183,94,650
+,1247,2834,4184,7805,4512,9358,3379,9276,3730,7916,7013,3148,8667,5825,3994,4995,5468,7018,9492,1126
+,9883,3748,267,615,7500,7501,3421,5118,9557,9615,6981,5440,1920,1478,8843,3039,7242,3803,3022,7029
+,8713,467,5239,3808,5230,9033,6532,5685,2245,414,6715,5513,5243,8326,5740,6041,943,5052,4912,8254
+,4856,8215,7007,4534,8394,9519,4845,1221,3660,7704,9003,7680,8055,7994,2172,4578,9263,5728,2432,6571
+,4859,9204,3182,8982,4886,7573,5988,4915,6303,218,9946,4319,1851,904,8298,2655,8349,1442,371,892
+,9850,6594,7664,3384,5891,7598,8613,7118,2970,5292,4903,4041,5856,9998,3589,1065,6365,8116,6451,7229
+,6030,6063,9327,721,8327,4561,3817,9492,942,9751,303,4620,9239,7206,4326,1929,770,9970,3414,2984
+,313,5629,9939,5298,6645,2089,7778,2177,1298,5081,8275,8116,432,9232,3907,7495,4108,5140,4643,2880
+,3153,8926,7354,4426,8933,947,8069,5730,9968,2153,2474,4311,8089,5281,772,8993,3767,5255,9556,5385
+,9723,1129,3218,8024,3798,836,1249,8543,6289,6218,9322,9664,7287,8651,9470,16,6290,2024,9371,5779
