OP,A1,A2,A3,A4,A5
+,2589,9660,7204,7724,3551
+,3523,7920,7172,3070,5576
+,2661,1802,8658,1677,5150
-,233,0,0,0,0
+,8556,4391,7253,8444,9404
+,2532,9080,3846,580,8340
+,2074,8783,2273,1350,9936
+,1799,2425,5684,2781,2660
-,759,0,0,0,0
+,4777,6108,4634,9135,3241
+,5748,2006,5075,2197,9212
+,4553,4114,3161,3816,9997
+,1007,3090,5765,3319,8847
+,3711,6109,9038,6576,8575
+,303,9320,2189,2942,7339
+,1344,3673,2136,5583,1122
-,714,0,0,0,0
+,9540,8907,1613,1147,6116
-,658,0,0,0,0
+,6139,2251,4908,116,1287
+,8935,951,7944,4123,9565
+,8397,7735,9500,5595,689
+,3821,9194,4268,149,6496
+,6299,4534,5058,7321,1482
+,7100,4105,1693,3904,7178
+,2489,923,7249,8758,9306
+,7933,402,1774,6551,8460
+,3884,7284,7662,1302,2132
+,3716,2606,9886,4086,643
+,4233,1690,6018,7823,372
+,4185,6412,161,8349,2581
+,9432,9393,4641,7108,4144
+,8466,6311,4812,3083,7590
+,5244,2405,2558,5873,9840
+,2846,1960,7057,6030,9091
+,7473,3607,11,317,4030
+,8708,3584,1100,9843,7255
+,2529,2591,4584,6764,7921
+,3581,6121,1889,7655,8669
+,4422,7503,951,6764,3644
+,6298,6528,9390,8143,8222
+,3271,7095,904,8636,1509
+,7458,1990,2851,5439,6969
+,2998,3687,9441,4803,431
+,6236,1553,1248,5157,9729
+,1565,2449,2867,9951,4909
+,3098,9291,2269,1023,7053
+,6009,6933,2594,4886,744
+,623,2502,7452,7687,9736
+,3329,8653,9494,4970,2535
-,189,0,0,0,0
+,8575,9994,9254,312,2594
+,8432,536,1617,1643,5522
+,1029,8324,3368,4395,9515
+,2680,8148,881,2527,6609
+,9529,8004,5725,9554,1396
-,997,0,0,0,0
+,5100,7570,4551,3156,3161
+,1193,4849,6781,9274,4730
+,7503,8977,8823,4952,7199
+,1681,5014,7999,7961,1828
+,1594,6412,4070,0,4170
+,2827,9743,7917,70,5017
+,5308,1465,7593,7232,788
+,6101,5291,3754,9361,6265
+,4371,8318,120,7322,7937
+,9201,5022,984,950,8150
+,7506,1856,8442,9280,8444
-,362,0,0,0,0
+,3208,2243,7793,8992,1415
+,205,5968,5512,9732,4445
+,755,2587,4615,4010,4063
-,909,0,0,0,0
+,6953,5654,8474,3432,4609
+,5945,9848,8994,2897,5281
-,219,0,0,0,0
+,4698,8534,2630,210,5037
+,3062,6144,5481,7707,8678
-,295,0,0,0,0
+,7159,3907,9022,6888,1395
+,4583,8749,2663,9597,6516
-,759,0,0,0,0
+,8204,6700,3785,9291,4985
+,167,5559,5671,3566,7579
+,1574,8464,328,4676,2214
+,6526,7955,2140,670,7477
-,760,0,0,0,0
+,6434,4143,9821,6355,4012
+,5965,4390,1856,5055,8011
-,504,0,0,0,0
+,8731,568,1833,6136,6706
+,2513,474,8146,7791,7690
-,703,0,0,0,0
-,823,0,0,0,0
+,7485,8044,6273,1679,2801
+,7104,1592,5467,6875,2790
+,5382,1291,557,9850,6186
+,9541,9344,3641,706,5609
+,1380,8625,7530,4530,4788
+,1451,4304,8175,7663,8609
+,9286,8806,4386,8193,3944
+,2599,9689,7571,609,5518
+,9634,2822,6990,1239,8869
+,3292,2131,842,7866,6941
+,6331,1023,253,4421,8836
+,8024,797,4977,9623,6700
+,4858,1222,1514,5709,2192
+,2938,4983,3107,6650,7720
+,5818,3377,3991,8771,1676
+,7487,8176,9469,582,5785
+,3879,9074,4403,1494,9368
+,5265,7716,8390,2349,4644
+,8400,6887,139,5165,6100
+,9930,888,2896,3799,6634
+,2049,1795,4854,1834,2691
+,6581,7985,1854,3697,4597
+,6794,3976,8512,6814,1129
-,343,0,0,0,0
+,4652,6152,7633,8325,5694
+,4318,3222,3820,2199,4132
+,7542,8929,6563,8578,9074
+,8573,3552,6594,2632,3794
+,4688,2263,861,9218,2737
+,3839,1573,6541,5624,9805
+,9311,2584,4810,3386,7800
+,2947,4237,1891,304,8223
-,91,0,0,0,0
+,6814,1232,6821,2773,5261
+,8285,8687,2441,8021,1606
+,694,4487,1460,3081,9040
+,6884,3794,3506,5953,8662
+,1249,2251,1351,8686,2819
+,3024,9894,8225,9289,6093
+,7329,9220,8202,3558,8994
+,9959,6074,7978,5651,4286
+,4933,7707,9048,3598,9620
+,853,9562,7417,2429,7573
+,6515,1580,9644,5056,3930
-,696,0,0,0,0
+,5710,7458,1518,9213,7338
+,2327,9453,3193,4196,8440
+,2285,7549,5660,2464,3530
+,8189,6411,8088,5885,9201
+,1976,6768,6832,1817,3049
+,1150,3255,3200,7124,6210
+,2980,4363,2204,7444,7374
+,2629,2147,2013,5054,1229
+,6583,2160,1551,6797,7578
+,3849,9497,3919,6738,5490
+,9923,1305,1943,9446,4787
+,2088,9234,6514,994,3274
+,358,7883,3502,9157,4438
+,2899,3451,4799,794,6020
+,718,3996,3729,9420,2404
+,8975,5686,9094,7170,4585
+,7267,438,6553,3836,7622
+,229,131,3016,5287,4706
+,338,2729,8651,8331,7350
+,8698,3608,6111,598,4436
+,4894,1344,2207,7936,2778
+,6244,8851,8339,9405,7914
+,6843,804,9083,5218,6210
+,8637,8899,929,5086,4051
+,4948,9900,7075,6101,5559
+,7144,9127,8182,7063,5582
+,2531,2988,1992,4986,6185
+,1600,374,3312,4515,2886
+,9617,642,4999,553,1958
+,3809,7684,3744,8055,6125
+,313,5519,3311,1259,7831
+,5259,6520,3251,2668,7391
+,5301,9049,5381,5875,5776
+,2380,6405,7592,7963,5566
+,1524,4809,5151,4432,7663
+,5507,3271,3934,4295,3607
-,659,0,0,0,0
+,1928,4023,2986,512,29
+,2396,5116,9523,2318,5509
+,9374,9387,6293,2972,1856
+,9577,482,354,6731,5652
+,3668,2861,5345,6065,2373
+,536,5843,7258,3077,4970
+,5898,5164,9685,6887,2599
+,3358,7753,2854,8911,5904
+,8435,4678,8642,2916,4996
+,3834,8698,4058,8317,6793
-,223,0,0,0,0
+,1147,9694,8214,7846,5985
-,951,0,0,0,0
+,1356,3154,5481,7008,7009
+,1684,9600,8206,2959,7213
+,9822,3538,5037,7233,7876
+,2085,16,8765,3422,269
+,3938,5529,3671,159,5021
+,3527,603,8220,3348,9126
+,1918,8093,5381,3911,3926
+,3436,4284,1388,3092,7508
+,9600,9872,3795,5937,5363
+,9062,2832,9327,411,876
+,754,3639,2353,2766,8495
+,7337,906,9723,9194,6211
+,7720,9450,2066,3536,4074
+,9621,9788,6106,5310,4972
+,42,5237,4337,2569,4243
+,5732,9771,3064,5181,5131
+,4828,5507,8235,1080,9303
-,979,0,0,0,0
+,5808,6973,9996,8811,8168
+,9355,9428,7703,9749,4020
+,4665,4572,9079,1060,5114
+,649,5841,2452,3745,117
+,1136,590,9667,8054,8903
+,4330,986,4853,9029,2906
+,4247,4288,3277,3284,456
+,7980,1078,5355,2124,1698
+,3463,6829,2420,9641,7114
+,3407,583,5486,4891,3690
+,5762,5167,3196,3922,844
-,191,0,0,0,0
+,8363,8814,130,5785,7807
+,8601,6209,7182,7278,9809
+,6490,7161,9872,5489,9664
+,2653,8378,6882,6506,698
+,3900,875,471,6916,6290
+,1044,5632,2131,2064,6484
+,4517,3641,7819,9399,4976
-,336,0,0,0,0
+,113,3728,5091,2985,4998
-,766,0,0,0,0
+,9754,3563,4330,7871,8485
-,199,0,0,0,0
+,9953,1297,4892,4891,1644
+,792,3354,7084,8402,9315
+,214,8254,4949,2837,5011
-,671,0,0,0,0
-,874,0,0,0,0
+,9150,7283,563,9670,4342
+,1598,3366,9720,7578,3631
-,205,0,0,0,0
+,9159,5336,788,5538,2636
+,1383,3115,3423,2442,4097
+,4559,1603,9148,3015,517
+,7638,1714,9710,9724,1717
+,1881,5901,4071,3356,5951
+,5844,469,1379,5091,9914
+,4074,3810,1131,4805,1399
+,4518,3021,7921,6739,9665
+,1349,4056,5579,5453,3398
+,7461,3644,8391,4411,8078
+,5875,6833,3637,4977,9776
+,4512,8350,2438,4593,457
+,5233,8478,3762,6382,659
+,8447,3722,19,1393,3486
+,8138,6419,4055,2331,1159
+,9750,5753,1499,9235,2529
+,8770,987,1698,3588,8903
+,2416,4530,6779,9472,8127
+,3058,2279,1286,4832,4566
+,7464,72,7554,1031,8342
+,4492,7293,1050,9858,7790
+,1596,8280,1003,9684,3976
+,7142,5559,7618,7215,2492
+,8250,6609,5311,4111,5399
+,1438,4493,1250,7134,3121
+,2583,1486,5064,1749,163
+,2915,2815,6167,1784,1916
+,5540,9342,5976,2637,7581
+,55,1181,7772,7115,822
+,4126,5240,8994,831,3544
+,1304,4662,7166,5777,9418
+,836,7300,7219,5188,1032
+,8229,5303,7024,6100,3965
+,7811,9033,4646,5745,6799
+,6688,1040,4158,4953,189
+,6388,7561,1697,4536,52
+,7834,211,7908,2014,7223
+,4610,8521,6891,3060,7414
+,5750,6763,6648,1361,3676
+,1084,2720,8232,9612,7858
+,9500,3958,4397,8590,8561
+,3449,8561,2449,2221,6980
+,807,6373,2473,6000,5567
-,232,0,0,0,0
+,1299,6297,8106,7236,6990
+,4133,3657,8246,6768,5501
+,3881,1163,2040,126,1460
+,8271,4910,1122,5492,2277
+,850,6057,452,3103,4134
+,7956,3072,6053,250,4265
+,7198,6031,1090,3887,4374
+,1702,2077,1957,8824,8728
+,8722,6215,4647,8371,7011
+,5062,9443,7585,9709,8169
+,4061,8436,6621,1394,9678
+,7893,4826,7814,479,2856
+,1981,3785,4648,9641,848
+,8679,1945,7288,1021,882
+,1800,5070,9765,5580,5635
+,7236,7201,4640,7390,6015
-,534,0,0,0,0
+,4478,3897,920,4834,4099
+,838,441,8271,7142,7986
+,8025,7478,5875,4021,4762
+,973,7350,871,9913,4970
+,8078,3846,3721,1248,3900
+,3853,7614,5222,7746,724
-,904,0,0,0,0
+,7701,272,4238,8207,3159
+,1186,795,3951,1213,9733
+,4854,9977,1117,8237,1882
+,3893,4886,446,7492,2545
-,716,0,0,0,0
+,5500,3702,6155,6976,866
-,328,0,0,0,0
+,7950,4862,3525,1007,7418
+,3880,3135,7479,9644,5138
+,8241,8560,5658,3480,3468
+,5906,2790,7046,5781,9536
+,7199,7251,3685,5693,7936
+,8183,1999,7929,1994,9627
+,4103,4536,5053,5457,3853
+,1367,3623,3265,6931,195
+,7146,8464,9066,7907,4169
+,9543,9825,3136,8977,7394
-,691,0,0,0,0
+,5020,3225,6482,8129,3437
+,3007,3168,4006,7520,7809
+,2644,8620,603,9834,6659
+,7928,2921,8432,9216,6585
+,9818,8204,4261,3502,4530
+,2936,1976,8459,9355,430
+,4226,6652,8484,8686,9128
+,642,9219,9847,1978,4014
+,2621,8780,805,8269,2524
+,6712,7672,1225,646,5879
+,9573,8444,1933,8827,9507
-,361,0,0,0,0
-,285,0,0,0,0
+,4037,8236,8007,6718,5168
+,1288,5017,2555,692,6306
+,4664,4567,4063,2662,260
-,343,0,0,0,0
+,2953,9799,865,4839,9251
+,8390,6486,7809,3967,1664
+,622,4677,1319,7855,2577
+,8023,5728,673,9394,1597
+,6665,2721,6986,9276,6810
+,3176,3907,8320,2306,1066
+,4850,6664,4847,1679,4017
+,5783,6756,4447,9205,3072
+,5077,7244,9855,6845,3653
-,161,0,0,0,0
+,519,5916,141,2004,863
-,541,0,0,0,0
+,3248,8484,7761,9544,9683
+,9160,4546,7106,6273,9321
-,281,0,0,0,0
+,2700,2487,577,7015,4411
+,6724,9192,2125,7293,8153
+,8427,1106,7232,5550,6310
+,4967,6697,1626,7797,2177
+,2438,7936,4514,9246,225
+,2834,8915,622,7389,3211
+,6996,5580,2920,2671,2646
+,5356,6353,7868,9798,2969
-,652,0,0,0,0
+,4581,1703,639,4632,5154
-,543,0,0,0,0
+,226,3828,7006,4769,7454
+,3169,7986,7602,4975,7199
+,7986,2524,4883,5866,2726
+,4303,246,3784,253,974
+,5093,6557,753,1395,2839
+,5751,7696,3605,3725,2580
+,3702,2879,2196,415,6284
+,1661,8766,9109,408,2746
+,7004,7404,4461,5492,1832
+,3902,8874,654,5250,6966
+,8906,8399,9580,901,6535
+,5789,7009,9422,6164,1468
+,9889,298,2733,4453,4223
+,775,8332,6740,5587,5456
+,9169,2962,9087,446,4259
+,2044,5105,7978,9275,6527
-,616,0,0,0,0
+,383,3725,6029,8365,9375
+,9308,7701,6741,2349,169
+,4738,4216,2863,9099,84
+,8862,5170,329,7936,774
+,9763,2230,2139,3450,1376
+,2909,8598,9264,9795,6779
+,914,2020,8594,1067,9971
+,2387,9157,4514,9888,6590
+,788,1720,9436,9656,3210
+,9151,4044,7320,6252,5236
-,813,0,0,0,0
-,167,0,0,0,0
+,4636,8488,74,4959,3168
+,9689,5154,6027,7583,4333
+,8965,3400,7979,9194,8426
+,4388,9825,1675,4387,2384
+,4551,4657,2784,7231,115
+,9025,2718,1339,5582,9420
+,5231,5533,795,8043,3682
+,6419,7336,8322,7993,6169
+,5166,4950,2672,6313,7731
+,111,3354,5048,8693,8998
+,38,5402,9310,4173,4045
+,7088,8386,3741,7187,1261
-,510,0,0,0,0
+,5372,4469,6880,4197,9115
+,5489,4458,2434,3181,1969
+,3872,3696,6786,9458,7152
+,4505,9104,9788,3372,8686
+,9032,8379,3824,9689,3064
+,5045,1976,5632,6702,5041
+,8682,5451,8085,5824,5914
+,2954,1605,4314,6759,8198
+,9493,8945,3390,3485,2656
+,4316,8640,6647,8434,6468
+,2437,8949,6060,7807,4173
+,6902,1154,8620,5361,2324
+,2667,5502,9172,5138,5181
+,1855,3103,539,7826,3483
+,5829,5863,565,7084,3633
+,3868,6716,5269,3666,2425
+,696,9300,6152,6637,3715
+,698,6335,8784,5198,6903
-,310,0,0,0,0
+,510,1157,9152,2403,3986
+,1418,5240,6147,1621,6813
+,3461,9853,7112,629,1110
-,610,0,0,0,0
+,1421,6341,9771,9224,7209
+,4059,6239,8929,2727,4746
+,3227,7882,3050,6073,8208
+,6570,8698,5158,8849,7043
+,3196,6125,3558,1471,9417
+,4922,1718,6232,9517,8313
+,6888,3034,7380,4615,981
+,7925,5826,8849,1673,9472
+,7707,1801,4392,4643,9846
+,7156,8912,6170,4017,8225
+,5153,4135,5869,643,8822
+,3932,3341,3818,5154,1944
+,295,5448,924,8723,406
+,7989,3352,576,3499,629
+,3242,4748,6126,1140,225
-,930,0,0,0,0
+,6937,3978,7662,9903,6837
+,7324,9632,218,8354,5164
+,6129,9940,3730,7136,3914
+,1557,8258,67,4225,7061
+,7500,5614,9720,361,4565
+,9636,1880,3480,3497,9759
-,288,0,0,0,0
+,2975,3668,3748,877,4569
+,1689,2406,2410,8319,4503
+,2844,3736,9483,4143,7420
+,565,7577,4726,7881,6294
+,7133,477,3330,3884,1899
+,7726,8477,4614,5224,9199
+,221,3303,4854,3956,8595
+,4436,7693,7662,2709,7878
+,9524,7651,181,6389,7934
+,212,1856,5401,1941,8333
-,190,0,0,0,0
+,1499,4144,6836,2883,9936
+,6994,5813,9059,1620,5495
+,9547,4287,5898,7986,4153
+,4447,9025,4060,9801,7593
+,6896,8145,9999,1034,8967
+,6695,4319,2773,7498,5269
+,5570,9971,4854,1936,6896
+,2208,1714,618,2583,68
+,8793,4871,2310,190,228
+,5421,725,7396,9671,1695
+,1844,793,3075,4452,9120
+,9870,7403,9953,4639,7780
+,8334,8461,4077,2250,7620
+,3761,933,1350,3882,8521
+,4446,9083,9104,1119,1728
+,4,7971,1474,3811,4467
-,134,0,0,0,0
+,5767,9429,356,1362,8728
+,5253,4384,3704,6358,4539
+,3817,1275,1465,6919,3568
+,5028,5316,7144,6802,4833
+,3044,6240,9892,2737,6143
+,513,3174,1394,8593,7023
+,3063,6745,6499,5591,821
+,8119,6696,2614,2250,8043
+,3120,8768,4780,5798,7691
+,4579,3278,6119,4312,2220
+,373,5206,7345,4502,6363
+,7547,2827,11,4210,5991
+,4965,4952,8855,7288,8690
-,78,0,0,0,0
+,2901,7350,9505,4914,283
+,3154,2591,9807,3209,6389
+,8847,34,7425,8846,524
+,8316,1474,4241,3840,4039
+,8177,8818,1219,8057,2956
+,9643,23,4392,3234,9774
+,6053,1241,1982,2903,138
+,8467,1573,4473,5367,5686
+,1276,6998,995,7570,4772
+,6663,9261,9980,1588,9768
+,3167,6974,1636,6972,4825
+,4852,6618,4322,7092,7630
+,2289,6412,9150,2951,6845
+,7422,7206,3975,4500,1977
+,2091,2005,5447,7852,8424
+,6455,2356,4012,409,531
+,6624,5401,8113,5682,8863
-,214,0,0,0,0
+,1214,8454,977,262,5819
+,1712,5372,6938,1221,7619
+,490,1070,3190,8222,2507
+,8496,8673,8934,38,527
+,7414,9489,8782,252,7970
-,799,0,0,0,0
+,9312,3819,2413,8088,5032
+,7798,6691,8575,7655,2115
+,7423,1415,5335,85,3510
-,375,0,0,0,0
+,8323,1916,8259,4837,7168
+,1601,6894,2726,6997,6568
+,9802,6951,248,3286,3128
+,4365,872,7576,1174,3390
+,2357,5711,7788,2740,9401
+,8593,4210,6722,2237,1344
-,870,0,0,0,0
+,3513,733,1160,4054,2306
+,4584,646,3025,3336,6223
+,2071,587,7205,3069,3539
-,298,0,0,0,0
+,6793,3385,3128,3222,7492
+,967,4323,5255,5544,9218
+,6363,4547,9010,9401,2495
+,3664,2634,133,3155,6692
+,7613,4451,2237,653,5928
+,1308,128,6167,7562,1109
+,4175,7145,9185,162,9789
+,467,2567,6565,1627,5316
+,7261,730,7872,7728,4678
+,5070,7300,4884,2914,416
+,5962,6518,7808,2139,6738
+,7219,8447,5304,1159,5087
+,505,4510,4305,8526,8243
+,8318,7790,9113,7343,6792
+,7174,7289,9852,9530,3740
+,3059,1514,2649,4454,4737
+,3802,3096,6335,4225,6180
+,7545,696,5809,2140,8328
-,48,0,0,0,0
+,5266,4697,9608,9249,2976
+,4399,6541,2926,816,528
-,735,0,0,0,0
+,3175,2848,4169,3821,405
+,4556,2682,3448,5185,7817
+,9081,9753,7046,8556,6228
+,5468,2408,9487,2560,6642
+,4533,9114,2737,265,875
+,8992,8094,6332,5346,5271
+,9258,2496,3284,6575,8045
+,332,3575,2203,5153,1047
+,7949,6882,9749,9160,6820
+,1989,3832,1367,3651,9445
+,5618,1208,4973,5142,697
+,9461,8736,2453,8262,9667
-,258,0,0,0,0
+,5830,9201,636,1706,4751
+,2229,3275,8136,6280,4446
-,589,0,0,0,0
+,8680,8804,2750,3852,1255
-,999,0,0,0,0
+,2453,2959,888,1136,7616
+,2609,4392,1881,3978,2265
+,5390,9715,9433,2688,7565
+,8317,5115,897,2640,534
-,234,0,0,0,0
+,4198,3626,7930,7809,2493
-,882,0,0,0,0
+,5295,8804,7969,4251,6343
+,2847,2405,6145,8181,130
+,6350,6719,7477,4466,8131
+,6232,8174,5267,6325,5449
+,8179,7548,459,490,4657
+,3790,8586,3099,5808,884
+,5796,6453,9430,8567,4261
+,6852,2088,9492,6610,9768
+,8874,9107,1312,7018,5533
+,5366,7213,3541,4796,233
+,6149,1693,8374,959,1103
+,3930,5671,2960,2172,25
+,9829,9245,9173,4437,3823
+,132,2359,270,3490,248
+,97,7912,3915,2959,6453
+,1110,3267,8036,170,284
+,2388,1344,4971,6606,3669
+,6059,4220,6899,7310,9344
+,812,2081,2234,3234,1314
+,9440,8075,1887,479,6294
-,51,0,0,0,0
+,5936,1568,6970,5801,2217
+,9324,2445,1440,690,9732
+,7113,140,7511,5991,1439
+,3472,464,7817,8019,6202
+,6393,832,7100,9344,7256
+,5910,162,2909,2311,4683
-,521,0,0,0,0
+,17,4405,9316,5595,5969
+,7040,2062,6764,6255,60
+,4423,8785,7981,5717,139
+,9145,4798,6300,5931,5538
+,3941,3909,5586,3280,2339
+,7867,632,1669,5329,3828
+,3607,1789,7153,7391,5057
+,5633,4326,9462,7443,5888
+,7322,1265,1008,8791,2070
+,1742,1019,3555,2091,541
+,6495,5488,7719,1263,5040
+,3138,2038,5352,5860,2116
+,6447,1132,4599,7021,5185
+,4978,6445,1762,9177,9752
+,8912,8894,3680,6860,5919
-,92,0,0,0,0
+,9443,2797,2839,365,8061
+,5949,4562,8205,5274,1859
+,5334,5116,6842,8733,5641
+,9725,1477,1691,8955,2038
+,9846,5609,1062,8953,768
+,7620,9448,6342,7750,238
-,261,0,0,0,0
-,580,0,0,0,0
+,6229,2676,3042,979,358
+,4988,1971,5879,5367,552
+,4726,7706,6162,5705,499
+,7538,8018,8552,2784,7936
+,7003,2880,4498,8490,2033
+,5037,5642,5297,965,8217
+,8848,2963,8800,9346,9043
+,7371,2905,7758,4884,1441
+,7641,7874,9613,3341,5001
+,8685,9010,6257,6156,9334
+,7052,5658,1859,4598,5950
+,1467,9181,9779,3041,9595
+,5643,631,8012,7942,7433
+,3780,5578,5018,9170,374
+,4731,319,4257,3987,1717
+,8254,4051,2858,4144,9976
+,1796,1166,3430,4072,7739
+,8345,5649,4530,977,671
+,3605,3377,5730,7994,133
+,4130,3057,2389,2244,981
+,3150,9132,3652,5235,3174
+,1284,5798,3397,5491,6809
+,2144,47,3122,6472,538
+,2750,1784,9389,660,8408
+,5673,1918,892,151,5121
+,7353,3474,5274,5607,1805
+,2554,633,5037,5226,2439
+,523,583,4233,2877,8319
+,2628,94,5157,6965,6273
+,7592,411,1651,5492,4406
+,21,5438,1892,5110,4797
+,9879,6987,601,7865,1223
+,4488,5854,430,2902,5383
+,5365,5743,8399,8438,5915
-,927,0,0,0,0
+,2226,632,2427,1283,1012
-,515,0,0,0,0
-,547,0,0,0,0
+,2976,4910,8397,6446,5118
-,926,0,0,0,0
+,2413,4382,2685,7350,4964
+,5012,6337,6111,6941,7856
+,9914,8431,6876,6712,8790
+,7472,341,1042,2497,4030
-,369,0,0,0,0
+,4178,315,4209,1187,8207
+,7067,7475,9344,3630,7417
+,8218,4515,7072,6750,8246
-,558,0,0,0,0
+,5951,3146,8999,7338,5326
+,9064,9414,2302,8465,9926
-,148,0,0,0,0
+,593,6955,431,5671,1730
+,5329,9947,1159,4953,570
+,4961,2179,1157,9420,7333
+,765,9267,3356,5815,2819
+,2858,2054,879,2434,5727
+,4633,6045,7751,9829,7283
+,7061,6740,8674,5521,4832
-,980,0,0,0,0
+,8249,1057,7875,6681,6279
+,3515,9074,9054,166,7295
+,4789,7891,4769,7056,9884
+,6366,2022,6604,1291,9250
-,278,0,0,0,0
+,2247,3285,7173,1026,5429
+,4547,2629,7956,7777,2677
+,476,2768,9260,635,9142
+,1481,3002,9273,2227,616
-,363,0,0,0,0
+,3558,116,5241,3520,7227
+,5684,4040,5412,6433,8667
+,8184,9738,798,3460,581
+,5095,4221,8125,4343,7969
-,852,0,0,0,0
+,3991,8057,5598,8231,8797
+,1387,6869,9211,6683,1104
-,985,0,0,0,0
+,6522,7695,1566,8395,4886
+,310,7923,5982,7688,4064
-,153,0,0,0,0
+,7572,5793,5395,5788,9566
+,9792,8870,8659,5660,7257
-,18,0,0,0,0
-,340,0,0,0,0
+,253,1633,2487,8737,9
+,6605,3623,3774,8231,7742
+,4092,4303,5033,8191,3033
+,5180,6882,3424,9336,6447
+,2752,1574,7477,9632,5950
+,381,1590,247,1807,2400
+,3787,9865,2897,8531,3955
+,726,5318,7642,9866,655
+,5161,6379,2865,813,7038
+,7145,8866,3445,1374,2627
+,7278,4223,324,6643,101
+,3122,5321,2586,6932,1081
+,6256,5390,1298,790,9685
+,8988,3289,4871,9913,5462
+,321,8113,4012,5574,4409
+,5821,2541,2918,1477,1704
+,1593,5119,4796,9406,9441
+,2615,7769,629,4577,6634
+,1659,1201,395,3548,8630
+,7975,4838,5084,1943,4834
+,3371,3856,3283,8655,7608
+,6554,9655,5530,4695,2173
+,6500,4797,3366,7419,8830
+,3456,847,3585,9343,1697
+,3514,8327,2808,4886,2163
+,5414,3046,1105,2252,780
+,9664,4344,3793,149,2443
+,6831,5463,2742,3488,8927
+,498,8240,5187,2460,3122
+,1877,7480,2194,753,4213
+,6558,9450,9888,3830,9207
+,7568,1125,2153,959,3942
+,8176,4484,869,856,7
-,429,0,0,0,0
+,7962,8246,6662,6839,8836
+,9329,5904,1577,52,4821
+,6323,9899,9159,3583,7381
+,8799,8047,9888,4984,4933
-,718,0,0,0,0
+,7073,1538,4745,4646,432
+,9484,665,1625,2247,5373
+,3068,7877,7526,3121,619
+,6982,7992,4704,2202,7614
+,7942,7645,7466,3570,5934
+,3373,3587,9641,6866,2132
+,5585,4611,2858,5608,9855
+,5742,1220,9168,101,1961
+,6456,6343,8647,1855,1572
+,6722,5313,2667,6995,9061
+,3860,6803,3866,8108,7144
+,4076,9873,6372,3323,8938
+,1102,5117,1623,6802,8876
+,3203,3883,922,8788,3774
+,3277,7554,4479,5612,7823
+,1984,2326,2308,5432,1995
+,2734,5049,7292,2404,6550
+,2445,6293,2781,6589,3298
+,4787,9234,1968,1349,4824
+,4687,4888,8517,8979,9296
+,7746,9783,6888,8771,1693
+,468,3890,3980,9145,507
+,1429,4042,6469,6736,5221
+,8409,6097,2960,5529,7736
+,1687,7945,1492,718,1723
+,4587,3864,8348,3031,839
+,9033,5746,9623,9739,1575
+,6776,2104,4069,9726,4128
-,307,0,0,0,0
+,9709,6258,578,8126,4945
+,3649,2340,1956,7556,2455
+,6333,9341,8546,852,578
+,6991,7349,7971,3020,9659
+,1368,5173,3494,7330,8218
+,8890,1284,3349,3611,7192
+,3194,8244,5605,8011,230
-,439,0,0,0,0
+,5505,6330,1398,383,4637
+,2860,6609,5823,1529,839
+,8886,3545,58,4530,3244
+,6683,687,823,1285,8884
+,7359,1885,8791,1545,1126
+,832,6786,14,1106,1584
+,3452,8186,3719,2079,2348
-,816,0,0,0,0
+,2728,5843,6396,4629,6904
+,509,1195,8118,1542,6679
-,361,0,0,0,0
+,274,8794,5037,8506,5573
+,4750,5409,1365,1312,403
+,2432,7212,6734,122,2627
+,2632,4670,7153,7920,6151
+,8780,4075,3179,7064,161
+,7312,4805,254,4773,8879
+,3595,6788,1660,3689,3624
+,2487,638,6279,3982,5237
+,1827,7150,9527,2934,8939
+,6411,4788,1328,6311,8109
+,6815,6434,4846,5746,1414
+,1831,8340,4633,3649,7377
+,1433,7182,2990,2910,1306
+,6972,9393,26,7118,9700
+,5419,3716,1878,1546,3755
+,6348,1368,3210,2504,9892
+,5544,3130,9333,1166,1963
-,624,0,0,0,0
+,8215,5594,4999,3060,5131
+,7504,7628,4310,6993,9624
+,7792,8276,4464,5350,280
-,485,0,0,0,0
+,7748,645,5997,2138,4885
+,930,228,5247,9304,8859
+,4085,3031,9633,6398,1636
+,1820,5934,1621,9867,1900
+,3096,7303,4782,770,5052
-,475,0,0,0,0
+,52,6048,1439,2237,1917
-,270,0,0,0,0
+,7247,6962,250,2356,8006
+,2991,7247,4994,2271,9155
+,894,9090,7560,8905,1996
+,7122,7813,3662,615,2514
+,8546,8081,9032,8293,929
+,1746,2088,9836,9794,7568
-,813,0,0,0,0
+,8143,5404,730,8874,9046
+,34,7407,8426,3457,9617
+,1373,6760,2087,5890,6254
+,9296,2721,6459,118,1300
+,3603,3306,2283,7990,9502
+,7561,1665,3794,4638,4469
+,6784,2264,9488,7159,1979
+,8081,6695,6556,8377,5317
-,673,0,0,0,0
+,5097,8743,8167,6678,428
+,9811,9101,2730,6663,810
+,1385,853,6955,9937,8516
+,4862,1701,3282,2553,42
+,3192,9203,2939,278,6452
+,3928,1294,4954,8094,931
+,5642,9525,233,7639,7561
+,2290,7802,3640,207,122
+,7901,3838,9354,3576,8440
+,645,2,8928,545,8963
+,3475,6227,2758,6087,868
+,388,1669,2076,6426,9111
+,4093,9937,5576,9816,3752
+,516,7005,5613,329,1167
+,8304,2163,4549,1981,7777
+,9906,7522,2707,4735,6958
+,269,4964,2029,5750,578
+,4986,8938,8538,132,4258
+,9198,7335,1045,6655,1997
+,2371,5673,3304,3204,1188
